"id","qnb","mvinyr","prfuse","csmptv","weight","pvwlbn","pvwlid","pvwlod","prvwel","rwtank","rwtkrp","rwusbn","rwusid","rwusod","rwtuse","otsrid","otsrod","otsodc","mncdsv","mnnmsv","dtcdsv","dtnmsv","pvcdsv","pvnmsv","dtbtor","byp1","byp2","byp3","byp4","byp5","byp6","byp7","byp8","byp9","ocpp1","ocpp2","ocpp3","ocpp4","ocpp5","ocpp6","ocpp7","ocpp8","ocpp9","hhs_0_19","hhs_20_64","hhs_65_95","hhstt","hhspo_0_19","hhspo_20_64","hhspo_65_95","hhsttpo","hhs_20_95","hhspo_20_95","eqadlt","eqadpo","rprage","rprgen","rprjob","rped6c","rped4c","income","inceqa","iceqac1","iceqac2","inccat","fseaid","dfpay","TEH","dwowsh","dwltyp","dwcsy9","dwcsy6","dwcsy5","livara","lareqa","nbktch","nblvrm","nbbdrm","nbbtrm","nbtoil","pldisw","pmnpol","pmnprp","tmppol","tmpprp","garden","dshwas","dshwrp","dshwas_3lvs","wasmch","wasmrp","wasmch_3lvs","bath","bathrp","bath_3lvs","shower","shwrrp","shower_3lvs","bthshw","btshrp","efshhd","efshrp","efshhd_3lvs","eftoil","eftlrp","eftoil_3lvs","eftech","efterp","drtoil","drtlrp","drtoil_3lvs","aoi","hlpwtk","cfdiwq","ppusvl","bdgmtr","lmtmtr","dwelocp","csptdo","cspppd","cspdwo","cspeqa","cspeqo"
5,2015,NA,"no",74,1,"no","no","no","no","no","no","yes","no","yes","outdoor","no","yes","no","62063","Liege","62000","Liege","60000","Liege","CILE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no",NA,NA,"2 facades","1919-1945","1919-1945","Before 1945",58,NA,"1","1","1","1","1","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","none","none","no","no","no","no","no","no","no","no","no","no","no",0.823529411764706,"no","suspicious","yes","no","no",NA,NA,NA,NA,NA,NA
29,63112,1999,"no",131,1.134934,"no","no","no","no","yes","no","yes","no","yes","outdoor","no","yes","yes","61068","Villers-Le-Bouillet","61000","Huy","60000","Liege","SWDE",1963,1966,2002,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,2,0,3,1,2,0,3,2,2,1.8,1.8,51,"F","other",NA,NA,1750,11666.6666666667,"precarious","modest","modest","no","no",2.960694,"owner - mortgage loan","2 facades","Before 1875","Before 1919","Before 1945",100,55.5555555555556,"1","2","2","1","1","no","no","no","no","no","yes","no","no","no","yes","yes","recent_replaced","yes","no","yes","no","no","no","bathtub","none","yes","yes","recent_replaced","yes","yes","recent_replaced","yes","yes","no","no","no",0.728235294117647,"no","neither confident nor suspicious","yes","no","no",1,131,119.634703196347,119.634703196347,199.391171993912,199.391171993912
34,9131,2007,"no",102.08,0.57861,"no","no","no","no","yes","no","yes","yes","no","indoor","yes","no","no","52015","Courcelles","52000","Charleroi","50000","Hainaut","SWDE",1959,1969,2000,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,2,0,3,1,2,0,3,2,2,1.8,1.8,55,"M","(pre)retired","higher not university","university",3750,25000,"modest","average","average","no","no",1.08345,"owner - mortgage loan","4 facades","2006 and after","2001 and after","2001 and after",200,111.111111111111,"1","1","2","0","2","yes","no","no","yes","no","yes","yes","no","yes","yes","no","yes","yes","no","yes","no","no","no","bathtub","none","no","no","no","yes","no","yes","yes","no","no","no","no",0.883529411764706,"no","neither confident nor suspicious","yes","no","no",0.942307692307692,108.329795918367,93.2237442922374,98.9313204733948,155.372907153729,164.885534122325
36,4567,2010,"no",71,2.68686,"no","no","no","no","no","no","no","no","no","no","no","no","no","62096","Seraing","62000","Liege","60000","Liege","CILE",1986,1989,2014,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,2,0,3,1,2,0,3,2,2,1.8,1.8,28,"M","unemployed","highschool","highschool",750,5000,"precarious","precarious","precarious","no","no",3.829711,"renter - private sector","appartment/studio","1946-1970","1946-1970","1946-1970",70,38.8888888888889,"1","1","2","1","0","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","none","none","no","no","no","yes","no","yes","yes","no","no","no","no",0.883529411764706,"no","rather confident","yes","no","no",0.903846153846154,78.5531914893617,64.8401826484018,71.7380744195084,108.06697108067,119.563457365847
37,11455,NA,"no",40,1,"no","no","no","no","no","no","no","no","no","no","no","no","no","62063","Liege","62000","Liege","60000","Liege","CILE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no",NA,NA,"2 facades","1919-1945","1919-1945","Before 1945",58,NA,"1","1","1","1","1","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","none","none","no","no","no","no","no","no","no","no","no","no","no",0.823529411764706,"no","rather confident","yes","no","no",NA,NA,NA,NA,NA,NA
39,13131,1997,"no",39.16,0.901312,"no","no","no","no","no","no","no","no","no","no","no","no","no","55004","Braine-Le-Comte","55000","Soignies","50000","Hainaut","SWDE",1957,1958,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,0,2,0,2,2,2,1.5,1.5,57,"M","worker","highschool","highschool",2250,18000,"modest","modest","modest","no","no",0.724423,"owner - mortgage loan","2 facades","1919-1945","1919-1945","Before 1945",100,66.6666666666667,"1","1","3 or more","1","1","no","no","no","no","no","yes","no","no","no","yes","yes","recent_replaced","yes","no","yes","no","no","no","bathtub","none","yes","no","yes","yes","no","yes","yes","no","no","no","no",0.728235294117647,"no","confident","yes","no","no",0.942307692307692,41.5575510204082,53.6438356164384,56.9281520827509,71.5251141552511,75.9042027770012
42,7297,2012,"no",115,2.554732,"no","no","no","no","no","no","yes","no","yes","outdoor","no","yes","yes","62063","Liege","62000","Liege","60000","Liege","CILE",1978,1966,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,0,2,0,2,2,2,1.5,1.5,48,"F","private sector","before highschool","before highschool",2250,18000,"modest","modest","modest","no","yes",2.03561,"renter - private sector","2 facades","1981-1990","1971-1990","1971-1990",200,133.333333333333,"1","1","2","1","1","no","no","no","no","no","yes","yes","no","yes","yes","no","yes","no","no","no","no","no","no","none","none","no","no","no","yes","no","yes","yes","no","no","no","no",0.883529411764706,"no","confident","yes","no","no",0.865384615384615,132.888888888889,157.534246575342,182.039573820396,210.045662100457,242.719431760528
44,5866,2000,"yes",NA,1.134934,"no","no","no","no","yes","yes","yes","no","yes","outdoor","no","yes","yes","61028","Heron","61000","Huy","60000","Liege","SWDE",1964,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,1,1,1,1,1,50,"M","manager",NA,NA,2750,33000,"average","higher","average","no","no",1.239941,"owner - mortgage loan","4 facades","Before 1875","Before 1919","Before 1945",150,150,"1","2","3 or more","1","1","no","yes","no","no","no","yes","yes","yes","recent_replaced","yes","yes","recent_replaced","yes","no","yes","no","no","no","bathtub","none","yes","yes","recent_replaced","yes","yes","recent_replaced","yes","yes","no","no","no",0.728235294117647,"no","rather confident","yes","no","no",0.980769230769231,NA,NA,NA,NA,NA
45,14614,2004,"yes",NA,0.82939,"no","no","no","no","yes","no","yes","no","yes","outdoor","no","yes","yes","61079","Anthisnes","61000","Huy","60000","Liege","CILE",1971,1973,2001,2005,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,2,2,0,4,2,2,0,4,2,2,2.1,2.1,43,"M","independent","professional","vocation",1750,10000,"precarious","precarious","precarious","no","no",2.129259,"owner - mortgage loan","4 facades","2001-2005","2001 and after","2001 and after",150,71.4285714285714,"1","1","3 or more","1","2","no","no","no","no","no","yes","yes","no","yes","yes","no","yes","yes","no","yes","yes","no","yes","both","none","no","no","no","yes","no","yes","yes","no","no","no","no",0.883529411764706,"no","confident","yes","no","no",0.961538461538462,NA,NA,NA,NA,NA
46,2166,1974,"no",119.57,0.820895,"yes","no","yes","outdoor","no","no","no","no","no","no","no","yes","no","63049","Malmedy","63000","Verviers","60000","Liege","SWDE",1952,1953,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,0,2,0,2,2,2,1.5,1.5,62,"M","(pre)retired","highschool","highschool",2250,18000,"modest","modest","modest","no","no",2.106329,"owner","3 facades","1946-1970","1946-1970","1946-1970",150,100,"1","1","3 or more","1","2","no","no","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","yes","no","yes","shower","none","no","no","no","yes","no","yes","yes","no","no","no","no",0.883529411764706,"no","rather confident","yes","no","no",0.961538461538462,124.3528,163.794520547945,170.346301369863,218.392694063927,227.128401826484
