"id","Numéro_questionnaire","Q20_ann_occup","Q11_prof_ville","Ressaltint","Ressaltext","Q11_boiss_bout","Q11_boiss_pluie","Q11_boiss_puits","Q11_boiss_autre","Q11_cafe_bout","Q11_cafe_pluie","Q11_cafe_puits","Q11_cafe_autre","Q11_repas_bout","Q11_repas_pluie","Q11_repas_puits","Q11_repas_autre","Q11_vaiss_bout","Q11_vaiss_pluie","Q11_vaiss_puits","Q11_vaiss_autre","Q11_hyg_bout","Q11_hyg_pluie","Q11_hyg_puits","Q11_hyg_autre","Q11_linge_bout","Q11_linge_pluie","Q11_linge_puits","Q11_linge_autre","Q11_nett_bout","Q11_nett_pluie","Q11_nett_puits","Q11_nett_autre","Q11_WC_bout","Q11_WC_pluie","Q11_WC_puits","Q11_WC_autre","Q11_jard_bout","Q11_jard_pluie","Q11_jard_puits","Q11_jard_autre","Q11_voit_bout","Q11_voit_pluie","Q11_voit_puits","Q11_voit_autre","Q11_ext_bout","Q11_ext_pluie","Q11_ext_puits","Q11_ext_autre","Q11_pisc_bout","Q11_pisc_pluie","Q11_pisc_puits","Q11_pisc_autre","Pondérationprov","Pondérationage","Pondérationstatut","Pondérationstatgeo","Pondérationstatgeocorr","POIDS_GeoStatAgePers1","POIDS_Geo_Stat_AgeP1_AgeL","PondArrEvol","Q1_uti_eau","Q1_conso_eau","Consoeauverif","Diffconseau","PCWC","PCWCTm1only","Q29_cit","CP","Code_postal","Commune","Arr","Arr_group","Province","Distributeur","Q14_stat_occup","Q15_type_log","Q15_autre_type_log","Q17_ann_constr","PeriodeConstr_6classes","PeriodeConstr_Simulateur","Q16_superf_hab","Q16_superf_hab_COR","Q16_superf_hab_COR_CAT","Superf_hab_Nb_Decile","Superf_hab_MoyenneDeDecile","Q16_superf_hab_CATEG","Q18_0_cuis","Q18_1_cuis","Q18_2_cuis","Q18_3plus_cuis","Nb_cuisines","Q18_0_sal","Q18_1_sal","Q18_2_sal","Q18_3plus_sal","Nb_salons","Q18_0_cham","Q18_1_cham","Q18_2_cham","Q18_3plus_cham","Nb_chambres","Q18_0_sdb","Q18_1_sdb","Q18_2_sdb","Q18_3plus_sdb","Nb_SDB","Q18_0_toil","Q18_1_toil","Q18_2_toil","Q18_3plus_toil","Nb_WC","Q11_pisc_ville","Q24_pisc_perm_pres","Q24_pisc_perm_rempl","Q24_pisc_temp_pres","Q24_pisc_temp_rempl","Q11_jard_ville","Q24_cit_pres","Q24_cit_rempl","Puits","Q23_vais_pres","Q23_vais_rempl","Q23_lav_pres","Q23_lav_rempl","Q24_baig_pres","Q24_baig_rempl","Q24_dou_pres","Q24_dou_rempl","Q24_pom_pres","Q24_pom_rempl","Q24_wc_pres","Q24_wc_rempl","Q24_toi_sech_pres","Q24_toi_sech_rempl","NB_PERS_14plus","NB_PERS_moins14","EQUIVAL_ADULTE","NB_PERS","Tmtot","Tmstdard","Q26_pers1_occ","Q26_pers2_occ","Q26_pers3_occ","Q26_pers4_occ","Q26_pers5_occ","Q26_pers6_occ","Q26_pers7_occ","Q26_pers8_occ","Q26_pers9_occ","Q26p1occ","Q26p2occ","Q26p3occ","Q26p4occ","Q26p5occ","Q26p6occ","Q26p7occ","Q26p8occ","Q26p9occ","Q27_inocc","PrésenceDansLog","PrésenceDansLogSemain","Q28_rev","Q26_pers1_naiss","Q26_pers2_naiss","Q26_pers3_naiss","Q26_pers4_naiss","Q26_pers5_naiss","Q26_pers6_naiss","Q26_pers7_naiss","Q26_pers8_naiss","Q26_pers9_naiss","AgeP1","AgeP1_5classes","Q26_pers1_sexe","Q26_pers2_sexe","Q26_pers3_sexe","Q26_pers4_sexe","Q26_pers5_sexe","Q26_pers6_sexe","Q26_pers7_sexe","Q26_pers8_sexe","Q26_pers9_sexe","Q26_pers1_act","Q26_pers2_act","Q26_pers3_act","Q26_pers4_act","Q26_pers5_act","Q26_pers6_act","Q26_pers7_act","Q26_pers8_act","Q26_pers9_act","Q26_pers1_inact","Q26_pers2_inact","Q26_pers3_inact","Q26_pers4_inact","Q26_pers5_inact","Q26_pers6_inact","Q26_pers7_inact","Q26_pers8_inact","Q26_pers9_inact","Q26_pers1_dipl","Q26_pers2_dipl","Q26_pers3_dipl","Q26_pers4_dipl","Q26_pers5_dipl","Q26_pers6_dipl","Q26_pers7_dipl","Q26_pers8_dipl","Q26_pers9_dipl","Dipl_P1_6classes","Q8_fd_eau","Q8_pas_aide","Q10_probl_fact_eau","TauxEffortHydrique","TEH2","TEH3","Q12_conf_eau","Q13_param_eau","Q7_paye_eau","Q7_paye_charg_loc","Q7_eau_1mois","Q7_eau_2mois","Q7_eau_3mois","Q7_eau_6mois","Q7_eau_1an","Factureeau1an","Factureeaucalculée","Q7_charges_1mois","Q7_charges_2mois","Q7_charges_3mois","Q7_charges_6mois","Q7_charges_1an","Q9_compt_budg_eau","Q9_lim_eau","Q9_neant"
5,2015,NA,"Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non",1.0934,1,1,1,1,1,1,0.9958,"Oui",74,74,0,NA,NA,"Non",4020,4020,"LIEGE","Liège","Liège","Liège","CILE",NA,"Maison mitoyenne (2 façades)",NA,"Entre 1919 et 1945","Entre 1919 et 1945","Avant 1975",142,58,"Entre 41 et 70 m2","Entre 20 et 64 m2",51,"64 m² et moins","Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Oui","Non","Non","Non","Non","Non","Non","Non","""Non""","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non","Oui","Non, j'ai toujours pu payer ma facture à temps",NA,NA,NA,"Méfiant","on paye bcp trop chère de l'eau calcaireà Jupille","Tous les 2 mois","Pas usager",NA,75,NA,NA,NA,450,358.647184,NA,NA,NA,NA,NA,"Non","Non","Oui"
29,63112,1999,"Non","Non","oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Oui","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non",1.0934,1.1116,0.7775,0.8108,0.955122,0.813573,1.134934,0.9138,"Oui",131,131,0,119.634703,119.634703,"Non",4530,4530,"VILLERS-LE-BOUILLET","Huy","Huy/Waremme","Liège","SWDE","Propriétaire qui rembourse un crédit hypothécaire","Maison mitoyenne (2 façades)",NA,"Avant 1875","Avant 1919","Avant 1975",100,100,"Entre 71 et 100 m2","Entre 91 et 100 m2",99,"de 81 à 100 m²","Non","Oui","Non","Non",1,"Non","Non","Oui","Non",2,"Non","Non","Oui","Non",2,"Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Non","Non","Non","Non","Non","Oui","Non","""Non""","Non","Non","Oui","Oui","Oui","Non","Non","Non","Oui","Oui","Oui","Oui","Non","Non",2,1,1.8,3,3,3,"Toute la semaine","Toute la semaine","Toute la semaine",NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,0,1,1,"Entre 1500 et 1999 €/mois",1963,1966,2002,NA,NA,NA,NA,NA,NA,52,"De 45 à 54 ans","Féminin","Féminin","Masculin",NA,NA,NA,NA,NA,NA,"Aucune des catégories précitées","Aucune des catégories précitées","Aucune des catégories précitées",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non","Oui","Non, j'ai toujours pu payer ma facture à temps",2.960694,"Oui","Non","Ni confiant, ni méfiant","De plus en plus calcaire au fil des années, parfois un goût de javel plus prononcé. je dois avouer que si l'information d'analyse était plus régulière, j'y prêterai plus d'intérêt.","Tous les 3 mois","Pas usager",NA,NA,155,NA,NA,620,621.74565,NA,NA,NA,NA,NA,"Non","Non","Oui"
34,9131,2007,"Non","Oui","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non",1.0621,0.8195,0.7775,0.802,0.802,0.804743,0.57861,0.8909,"Oui",110,102.08,7.92,93.223744,93.223744,"Non",6180,6180,"COURCELLES","Charleroi","Charleroi","Hainaut","SWDE","Propriétaire qui rembourse un crédit hypothécaire","Maison 4 façades",NA,"2006 et ultérieurement","Après 2000","Après 2000",200,200,"Entre 151 et 200 m2","Entre 176 et 200 m2",193,"Plus de 175 m²","Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Non","Oui","Non",2,"Oui","Non","Non","Non",0,"Non","Non","Oui","Non",2,"Oui","Non","Non","Oui","Non","Oui","Oui","Non","""Non""","Oui","Non","Oui","Non","Oui","Non","Non","Non","Non","Non","Oui","Non","Non","Non",3,0,2,3,3,3,"Toute la semaine","Toute la semaine","Toute la semaine",NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,3,0.942308,1,"Entre 3500 et 3999 €/mois",1959,1969,2000,NA,NA,NA,NA,NA,NA,56,"De 55 à 64 ans","Masculin","Féminin","Masculin",NA,NA,NA,NA,NA,NA,"Aucune des catégories précitées","Employé du secteur privé","Aucune des catégories précitées",NA,NA,NA,NA,NA,NA,"(Pré)pensionné","Non concerné","Etudiant/Elève",NA,NA,NA,NA,NA,NA,"Supérieur non universitaire","Universitaire",NA,NA,NA,NA,NA,NA,NA,"Supérieur non universitaire","Non","Oui","Non, j'ai toujours pu payer ma facture à temps",1.08345,"Non","Non","Ni confiant, ni méfiant","Les particules qui brunissent le filtre principal.","Tous les 3 mois","Pas usager",NA,NA,121,NA,NA,484,487.552512,NA,NA,NA,NA,NA,"Non","Non","Oui"
36,4567,2010,"Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non",1.0934,4.9118,2.2034,1.9952,1.9952,2.662894,2.68686,0.9958,"Oui",33,71,-38,64.840183,64.840183,"Non",4100,4100,"SERAING","Liège","Liège","Liège","CILE","Locataire auprès du secteur privé","Appartement ou studio",NA,"Entre 1946 et 1970","Entre 1946 et 1970","Avant 1975",70,70,"Entre 41 et 70 m2","Entre 65 et 80 m2",76,"de 65 à 80 m²","Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Non","Oui","Non",2,"Non","Oui","Non","Non",1,"Oui","Non","Non","Non",0,"Non","Non","Non","Non","Non","Non","Non","Non","""Non""","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non",2,1,1.8,3,3,3,"Toute la semaine","Toute la semaine","Toute la semaine",NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,5,0.903846,1,"Entre 500 et 999 €/mois",1986,1989,2014,NA,NA,NA,NA,NA,NA,29,"Moins de 35 ans","Masculin","Féminin","Féminin",NA,NA,NA,NA,NA,NA,"Sans emploi rémunéré",NA,NA,NA,NA,NA,NA,NA,NA,"Demandeur d'emploi","Femme/homme au foyer","Autre",NA,NA,NA,NA,NA,NA,"Secondaire supérieur général (6ème secondaire)","Professionnel",NA,NA,NA,NA,NA,NA,NA,"Secondaire supérieur général (6ème secondaire)","Non","Oui","Non, j'ai toujours pu payer ma facture à temps",3.829711,"Oui","Oui","Plutôt confiant","calcaire, niveau des nitrates, et bactérie, moyen de filtration.","Tous les 2 mois","Pas usager",NA,25,NA,NA,NA,150,344.673946,NA,NA,NA,NA,NA,"Non","Non","Oui"
37,11455,NA,"Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non",1.0934,1,1,1,1,1,1,0.9958,"Oui",40,40,0,NA,NA,"Non",4000,4000,"LIEGE","Liège","Liège","Liège","CILE",NA,"Maison mitoyenne (2 façades)",NA,"Entre 1919 et 1945","Entre 1919 et 1945","Avant 1975",NA,58,"Entre 41 et 70 m2","Entre 20 et 64 m2",51,"64 m² et moins","Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Non","Non","Non","Non","Non","Non","Non","""Non""","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non","Oui","Non, j'ai toujours pu payer ma facture à temps",NA,NA,NA,"Plutôt confiant","Résidus de médicaments et chimiques dans les eaux","Tous les 3 mois","Pas usager",NA,NA,56,NA,NA,224,200.28382,NA,NA,NA,NA,NA,"Non","Non","Oui"
39,13131,1997,"Non","Non","Non","Oui","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non",1.0621,0.8195,0.7775,0.802,0.802,0.804743,0.901312,0.8574,"Oui",38,39.16,-1.16,53.643836,53.643836,"Non",7090,7090,"BRAINE-LE-COMTE","Soignies","Soignies","Hainaut","SWDE","Propriétaire qui rembourse un crédit hypothécaire","Maison mitoyenne (2 façades)",NA,"Entre 1919 et 1945","Entre 1919 et 1945","Avant 1975",100,100,"Entre 71 et 100 m2","Entre 91 et 100 m2",99,"de 81 à 100 m²","Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Non","Non","Oui",3,"Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Non","Non","Non","Non","Oui","Non","Non","""Non""","Non","Non","Oui","Oui","Oui","Non","Non","Non","Oui","Non","Oui","Non","Non","Non",2,0,1.5,2,2,2,"Toute la semaine","Toute la semaine",NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,3,0.942308,1,"Entre 2000 et 2499 €/mois",1957,1958,NA,NA,NA,NA,NA,NA,NA,58,"De 55 à 64 ans","Masculin","Féminin",NA,NA,NA,NA,NA,NA,NA,"Ouvrier","Sans emploi rémunéré",NA,NA,NA,NA,NA,NA,NA,"Non concerné","Femme/homme au foyer",NA,NA,NA,NA,NA,NA,NA,"Secondaire supérieur général (6ème secondaire)","Secondaire supérieur général (6ème secondaire)",NA,NA,NA,NA,NA,NA,NA,"Secondaire supérieur général (6ème secondaire)","Non","Oui","Non, j'ai toujours pu payer ma facture à temps",0.724423,"Non","Non","Confiant",NA,"Tous les 3 mois","Pas usager",NA,NA,170,NA,NA,680,195.594274,NA,NA,NA,NA,NA,"Non","Non","Oui"
42,7297,2012,"Non","Non","oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non",1.0934,1.6206,2.2034,1.9952,2.350346,2.838591,2.554732,0.9958,"Oui",115,115,0,157.534247,157.534247,"Non",4030,4030,"LIEGE","Liège","Liège","Liège","CILE","Locataire auprès du secteur privé","Maison mitoyenne (2 façades)",NA,"Entre 1981 et 1990","Entre 1971 et 1990","de 83 à 88",200,200,"Entre 151 et 200 m2","Entre 176 et 200 m2",193,"Plus de 175 m²","Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Non","Oui","Non",2,"Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Non","Non","Non","Non","Non","Non","Non","""Non""","Oui","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non",2,0,1.5,2,2,2,"Toute la semaine","Toute la semaine",NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,7,0.865385,1,"Entre 2000 et 2499 €/mois",1978,1966,NA,NA,NA,NA,NA,NA,NA,37,"De 35 à 44 ans","Masculin","Féminin",NA,NA,NA,NA,NA,NA,NA,"Employé du secteur privé","Employé du secteur privé",NA,NA,NA,NA,NA,NA,NA,"Non concerné","Non concerné",NA,NA,NA,NA,NA,NA,NA,"Supérieur non universitaire","Secondaire inférieur (3ème secondaire)",NA,NA,NA,NA,NA,NA,NA,"Supérieur non universitaire","Non","Oui","Oui c'est déjà arrivé que je ne puisse pas payer ma facture à temps",2.03561,"Oui","Non","Confiant",NA,"Tous les 3 mois","Pas usager",NA,NA,87,NA,NA,348,549.61477,NA,NA,NA,NA,NA,"Non","Non","Oui"
44,5866,2000,"Oui","Non","oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Oui","Non","Non",1.0934,1.1116,0.7775,0.8108,0.955122,0.813573,1.134934,0.9138,"Oui",NA,85.19,NA,233.39726,233.39726,"Non",4217,4217,"HERON","Huy","Huy/Waremme","Liège","SWDE","Propriétaire qui rembourse un crédit hypothécaire","Maison 4 façades",NA,"Avant 1875","Avant 1919","Avant 1975",150,150,"Entre 101 et 150 m2","Entre 131 et 150 m2",146,"131 à 175 m²","Non","Oui","Non","Non",1,"Non","Non","Oui","Non",2,"Non","Non","Non","Oui",3,"Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Oui","Non","Non","Non","Non","Oui","Oui","""Non""","Oui","Oui","Oui","Oui","Oui","Non","Non","Non","Oui","Oui","Oui","Oui","Non","Non",1,0,1,1,1,1,"Toute la semaine",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0.980769,1,"Entre 2500 et 2999 €/mois",1964,NA,NA,NA,NA,NA,NA,NA,NA,51,"De 45 à 54 ans","Masculin",NA,NA,NA,NA,NA,NA,NA,NA,"Cadre",NA,NA,NA,NA,NA,NA,NA,NA,"Non concerné",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non","Oui","Non, j'ai toujours pu payer ma facture à temps",1.239941,"Non","Non","Plutôt confiant","La pureté et les traitements.","Tous les 3 mois","Pas usager",NA,NA,100,NA,NA,400,409.180379,NA,NA,NA,NA,NA,"Non","Non","Oui"
45,14614,2004,"Oui","Non","oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non",1.0934,1.0988,0.7775,0.8108,0.955122,1.153533,0.82939,0.9138,"Oui",93,93,0,63.69863,63.69863,"Non",4160,4160,"ANTHISNES","Huy","Huy/Waremme","Liège","CILE","Propriétaire qui rembourse un crédit hypothécaire","Maison 4 façades",NA,"Entre 2001 et 2005","Après 2000","Après 2000",150,150,"Entre 101 et 150 m2","Entre 131 et 150 m2",146,"131 à 175 m²","Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Non","Non","Oui",3,"Non","Oui","Non","Non",1,"Non","Non","Oui","Non",2,"Non","Non","Non","Non","Non","Non","Oui","Non","""Non""","Oui","Non","Oui","Non","Oui","Non","Oui","Non","Non","Non","Oui","Non","Non","Non",3,1,2.3,4,4,4,"Toute la semaine","Toute la semaine","Toute la semaine","Toute la semaine",NA,NA,NA,NA,NA,1,1,1,1,0,0,0,0,0,2,0.961538,1,"Entre 1500 et 1999 €/mois",1971,1973,2001,2005,NA,NA,NA,NA,NA,44,"De 35 à 44 ans","Masculin","Féminin","Féminin","Masculin",NA,NA,NA,NA,NA,"Indépendant","Fonctionnaire / Enseignant","Aucune des catégories précitées","Aucune des catégories précitées",NA,NA,NA,NA,NA,"Non concerné","Non concerné","Etudiant/Elève","Etudiant/Elève",NA,NA,NA,NA,NA,"Professionnel","Supérieur non universitaire","Primaire/pas de diplôme","Primaire/pas de diplôme",NA,NA,NA,NA,NA,"Professionnel/Technique","Non","Oui","Non, j'ai toujours pu payer ma facture à temps",2.129259,"Oui","Non","Confiant",NA,"Tous les mois","Pas usager",38,NA,NA,NA,NA,456,447.144358,NA,NA,NA,NA,NA,"Non","Non","Oui"
46,2166,1974,"Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non",1.0934,0.6851,0.7775,0.8108,0.8108,0.813573,0.820895,1.2639,"Oui",130,119.57,10.43,163.794521,163.794521,"Non",4960,4960,"MALMEDY","Verviers","Verviers","Liège","SWDE","Propriétaire qui ne rembourse pas ou plus de crédit hypothécaire","Maison jumelée (3 façades)",NA,"Entre 1946 et 1970","Entre 1946 et 1970","Avant 1975",150,150,"Entre 101 et 150 m2","Entre 131 et 150 m2",146,"131 à 175 m²","Non","Oui","Non","Non",1,"Non","Oui","Non","Non",1,"Non","Non","Non","Oui",3,"Non","Oui","Non","Non",1,"Non","Non","Oui","Non",2,"Non","Non","Non","Non","Non","Non","Non","Non","""Oui""","Non","Non","Oui","Non","Non","Non","Oui","Non","Non","Non","Oui","Non","Non","Non",2,0,1.5,2,2,2,"Toute la semaine","Toute la semaine",NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,2,0.961538,1,"Entre 2000 et 2499 €/mois",1952,1953,NA,NA,NA,NA,NA,NA,NA,63,"De 55 à 64 ans","Masculin","Féminin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Pré)pensionné","Demandeur d'emploi",NA,NA,NA,NA,NA,NA,NA,"Secondaire supérieur général (6ème secondaire)","Professionnel",NA,NA,NA,NA,NA,NA,NA,"Secondaire supérieur général (6ème secondaire)","Non","Oui","Non, j'ai toujours pu payer ma facture à temps",2.106329,"Oui","Non","Plutôt confiant","l aspect ( parois brunatre)","Tous les 3 mois","Pas usager",NA,NA,145,NA,NA,580,568.708736,NA,NA,NA,NA,NA,"Non","Non","Oui"
