Groups,Variables,Code,Name,Source,Sub-vars,Location,New loc,Note,Todo
general,merging,id,,,id,1,1,none,none
,merging,nq,,,Numéro_questionnaire,5,2,? Remove the one <=0 & = 40000,think
,merging,mvinyr,,questionnaire,Q20_ann_occup,300,3,movin year to current dwelling,use to make connection with data from water utilities if I've ever have it
,use for professional purpose,prfuse,,,Q11_prof_ville,257,4,remove household using distribution water for professional use,
,othersource,othwatsc,,Cedric,Ressaltint,594,5,other source of water to use at least for 1 inside,
,,,,Cedric,Ressaltext,595,6,other source of water to use for only outside,
,,,,,Q11_boiss_bout,186,7,,
,,,,,Q11_boiss_pluie,187,8,,
,,,,,Q11_boiss_puits,188,9,,
,,,,,Q11_boiss_autre,189,10,,
,,,,,Q11_cafe_bout,192,11,,
,,,,,Q11_cafe_pluie,193,12,,
,,,,,Q11_cafe_puits,194,13,,
,,,,,Q11_cafe_autre,195,14,,
,,,,,Q11_repas_bout,198,15,,
,,,,,Q11_repas_pluie,199,16,,
,,,,,Q11_repas_puits,200,17,,
,,,,,Q11_repas_autre,201,18,,
,,,,,Q11_vaiss_bout,204,19,,
,,,,,Q11_vaiss_pluie,205,20,,
,,,,,Q11_vaiss_puits,206,21,,
,,,,,Q11_vaiss_autre,207,22,,
,,,,,Q11_hyg_bout,210,23,,
,,,,,Q11_hyg_pluie,211,24,,
,,,,,Q11_hyg_puits,212,25,,
,,,,,Q11_hyg_autre,213,26,,
,,,,,Q11_linge_bout,216,27,,
,,,,,Q11_linge_pluie,217,28,,
,,,,,Q11_linge_puits,218,29,,
,,,,,Q11_linge_autre,219,30,,
,,,,,Q11_nett_bout,222,31,,
,,,,,Q11_nett_pluie,223,32,,
,,,,,Q11_nett_puits,224,33,,
,,,,,Q11_nett_autre,225,34,,
,,,,,Q11_WC_bout,228,35,,
,,,,,Q11_WC_pluie,229,36,,
,,,,,Q11_WC_puits,230,37,,
,,,,,Q11_WC_autre,231,38,,
,,,,,Q11_jard_bout,234,39,,
,,,,,Q11_jard_pluie,235,40,,
,,,,,Q11_jard_puits,236,41,,
,,,,,Q11_jard_autre,237,42,,
,,,,,Q11_voit_bout,240,43,,
,,,,,Q11_voit_pluie,241,44,,
,,,,,Q11_voit_puits,242,45,,
,,,,,Q11_voit_autre,243,46,,
,,,,,Q11_ext_bout,246,47,,
,,,,,Q11_ext_pluie,247,48,,
,,,,,Q11_ext_puits,248,49,,
,,,,,Q11_ext_autre,249,50,,
,,,,,Q11_pisc_bout,252,51,,
,,,,,Q11_pisc_pluie,253,52,,
,,,,,Q11_pisc_puits,254,53,,
,,,,,Q11_pisc_autre,255,54,,
,weight,,,,Pondérationprov,484,55,,
,,,,,Pondérationage,485,56,,
,,,,,Pondérationstatut,486,57,,
,,,,,Pondérationstatgeo,487,58,,
,,,,,Pondérationstatgeocorr,488,59,,
,,,,,POIDS_GeoStatAgePers1,489,60,,
,,,,,POIDS_Geo_Stat_AgeP1_AgeL,490,61,,
,,,,,PondArrEvol,491,62,,
outcome,consumption,distr,,,Q1_uti_eau,8,63,"oui: use distribution, non:not",
,,consr,,,Q1_conso_eau,16,64,self reported water use,just for checking
,,consv,,,Consoeauverif,17,65,verified water use,mainly use this one
