"id","nq","mvinyr","prfuse","csmptv","weight","pvwlbn","pvwlid","pvwlod","prvwel","rwtank","rwtkrp","rwusbn","rwusid","rwusod","rwtuse","otsrid","otsrod","otsodc","mncdsv","munisv","dtcdsv","dstrsv","pvcdsv","prvnsv","dtbtor","xcoord","ycoord","sscdgb","ststgb","smcdgb","mncdgb","munigb","dtcdgb","dstrgb","pvcdgb","prvngb","nbpsnr","nbwkpp","nbchdr","nbadlt","nttper","eqadlt","npnspo","nwprpo","nchdpo","nadtpo","nttppo","eqatpo","rprage","rprgen","rprjob","rped6c","rped4c","income","inceqa","iceqac1","iceqac2","fseaid","dfpay","TEH","dwowsh","dwltyp","dwcsy9","dwcsy6","dwcsy5","livara","lareqa","nbktch","nblvrm","nbbdrm","nbbtrm","nbtoil","pldisw","pmnpol","pmnprp","tmppol","tmpprp","garden","dshwas","dshwrp","wasmch","wasmrp","bath","bathrp","shower","shwrrp","bthshw","btshrp","efshhd","efshrp","eftoil","eftlrp","eftech","efterp","drtoil","drtlrp","hlpwtk","cfdiwq","ppusvl","bdgmtr","lmtmtr","dwelocp","csptdo","cspppd","cspdwo","cspeqa","cspeqo","bill","price1","CVD","CVA","bill70"
5,2015,NA,"no",74,1,"no","no","no","no","no","no","yes","no","yes","outdoor","no","yes","no","62063","Liege","62000","Liege","60000","Liege","CILE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no",NA,NA,"2 facades","1919-1945","1919-1945","Before 1945",58,NA,"1","1","1","1","1","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","none","none","no","no","no","no","no","no","no","no","no","suspicious","yes","no","no",NA,NA,NA,NA,NA,NA,358.647184,4.84658356756757,2.6366,1.745,340.0162
29,63112,1999,"no",131,1.134934,"no","no","no","no","yes","no","yes","no","yes","outdoor","no","yes","yes","61068","Villers-Le-Bouillet","61000","Huy","60000","Liege","SWDE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,2,3,1.8,0,2,1,2,3,1.8,51,"F","other",NA,NA,1750,11666.6666666667,"precarious","modest","no","no",2.960694,"owner - mortgage loan","2 facades","Before 1875","Before 1919","Before 1945",100,55.5555555555556,"1","2","2","1","1","no","no","no","no","no","yes","no","no","yes","yes","yes","no","no","no","bathtub","none","yes","yes","yes","yes","yes","yes","no","no","no","neither confident nor suspicious","yes","no","no",1,131,119.634703196347,119.634703196347,199.391171993912,199.391171993912,621.74565,4.74615,2.448,1.745,325.0225
34,9131,2007,"no",102.08,0.57861,"no","no","no","no","yes","no","yes","yes","no","indoor","yes","no","no","52015","Courcelles","52000","Charleroi","50000","Hainaut","SWDE",150231.250904073,126944.510603285,"52015A311","La Coupe","52015A3","52015","Courcelles","52000","Charleroi","50000","Hainaut",0,3,0,3,3,2,0,3,0,3,3,2,55,"M","(pre)retired","higher not university","university",3750,22500,"modest","average","no","no",1.08345,"owner - mortgage loan","4 facades","2006 and after","2001 and after","2001 and after",200,100,"1","1","2","0","2","yes","no","no","yes","no","yes","yes","no","yes","no","yes","no","no","no","bathtub","none","no","no","yes","no","yes","no","no","no","no","neither confident nor suspicious","yes","no","no",0.942307692307692,108.329795918367,93.2237442922374,98.9313204733948,139.835616438356,148.396980710092,487.552512,4.77618056426332,2.448,1.745,325.0225
36,4567,2010,"no",71,2.68686,"no","no","no","no","no","no","no","no","no","no","no","no","no","62096","Seraing","62000","Liege","60000","Liege","CILE",231210.872387596,144028.078595437,"62096A100","Lize Est","62096A1","62096","Seraing","62000","Liege","60000","Liege",0,2,1,2,3,1.8,0,2,1,2,3,1.8,28,"M","unemployed","highschool","highschool",750,5000,"precarious","precarious","no","no",3.829711,"renter - private sector","appartment/studio","1946-1970","1946-1970","1946-1970",70,38.8888888888889,"1","1","2","1","0","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","none","none","no","no","yes","no","yes","no","no","no","no","rather confident","yes","no","no",0.903846153846154,78.5531914893617,64.8401826484018,71.7380744195084,108.06697108067,119.563457365847,344.673946,4.85456261971831,2.6366,1.745,340.0162
37,11455,NA,"no",40,1,"no","no","no","no","no","no","no","no","no","no","no","no","no","62063","Liege","62000","Liege","60000","Liege","CILE",232045.610461297,149460.991959848,"62063K1AP","En Ster","62063K1","62063","Liege","62000","Liege","60000","Liege",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no",NA,NA,"2 facades","1919-1945","1919-1945","Before 1945",58,NA,"1","1","1","1","1","no","no","no","no","no","no","no","no","no","no","no","no","no","no","none","none","no","no","no","no","no","no","no","no","no","rather confident","yes","no","no",NA,NA,NA,NA,NA,NA,200.28382,5.0070955,2.6366,1.745,340.0162
39,13131,1997,"no",39.16,0.901312,"no","no","no","no","no","no","no","no","no","no","no","no","no","55004","Braine-Le-Comte","55000","Soignies","50000","Hainaut","SWDE",132854.781994397,144169.800246111,"55004A132","Richercha","55004A1","55004","Braine-Le-Comte","55000","Soignies","50000","Hainaut",0,2,0,2,2,1.5,0,2,0,2,2,1.5,57,"M","worker","highschool","highschool",2250,18000,"modest","modest","no","no",0.724423,"owner - mortgage loan","2 facades","1919-1945","1919-1945","Before 1945",100,66.6666666666667,"1","1","3 or more","1","1","no","no","no","no","no","yes","no","no","yes","yes","yes","no","no","no","bathtub","none","yes","no","yes","no","yes","no","no","no","no","confident","yes","no","no",0.942307692307692,41.5575510204082,53.6438356164384,56.9281520827509,71.5251141552511,75.9042027770012,195.594274,4.99474652706844,2.448,1.745,325.0225
42,7297,2012,"no",115,2.554732,"no","no","no","no","no","no","yes","no","yes","outdoor","no","yes","yes","62063","Liege","62000","Liege","60000","Liege","CILE",236761.283285048,146837.266094443,"62063F21-","Peville","62063F2","62063","Liege","62000","Liege","60000","Liege",0,2,0,2,2,1.5,0,2,0,2,2,1.5,36,"M","private sector","higher not university","university",2250,18000,"modest","modest","no","yes",2.03561,"renter - private sector","2 facades","1981-1990","1971-1990","1971-1990",200,133.333333333333,"1","1","2","1","1","no","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","none","none","no","no","yes","no","yes","no","no","no","no","confident","yes","no","no",0.865384615384615,132.888888888889,157.534246575342,182.039573820396,210.045662100457,242.719431760528,549.61477,4.77925886956522,2.6366,1.745,340.0162
44,5866,2000,"yes",NA,1.134934,"no","no","no","no","yes","yes","yes","no","yes","outdoor","no","yes","yes","61028","Heron","61000","Huy","60000","Liege","SWDE",201408.480750606,137946.722993856,"61028A00-","Heron-Centre","61028A0","61028","Heron","61000","Huy","60000","Liege",0,1,0,1,1,1,0,1,0,1,1,1,50,"M","manager",NA,NA,2750,33000,"average","higher","no","no",1.239941,"owner - mortgage loan","4 facades","Before 1875","Before 1919","Before 1945",150,150,"1","2","3 or more","1","1","no","yes","no","no","no","yes","yes","yes","yes","yes","yes","no","no","no","bathtub","none","yes","yes","yes","yes","yes","yes","no","no","no","rather confident","yes","no","no",0.980769230769231,NA,NA,NA,NA,NA,409.180379,NA,2.448,1.745,325.0225
45,14614,2004,"yes",NA,0.82939,"no","no","no","no","yes","no","yes","no","yes","outdoor","no","yes","yes","61079","Anthisnes","61000","Huy","60000","Liege","CILE",231269.416241823,130884.55281964,"61079A090","Anthisnes - Habitations Disp.","61079A0","61079","Anthisnes","61000","Huy","60000","Liege",0,2,2,2,4,2.1,0,2,2,2,4,2.1,43,"M","independent","professional","vocation",1750,10000,"precarious","precarious","no","no",2.129259,"owner - mortgage loan","4 facades","2001-2005","2001 and after","2001 and after",150,71.4285714285714,"1","1","3 or more","1","2","no","no","no","no","no","yes","yes","no","yes","no","yes","no","yes","no","both","none","no","no","yes","no","yes","no","no","no","no","confident","yes","no","no",0.961538461538462,NA,NA,NA,NA,NA,447.144358,NA,2.6366,1.745,340.0162
46,2166,1974,"no",119.57,0.820895,"yes","no","yes","outdoor","no","no","no","no","no","no","no","yes","no","63049","Malmedy","63000","Verviers","60000","Liege","SWDE",267871.927702003,125069.91242524,"63049A00-","Centre Malmedy","63049A0","63049","Malmedy","63000","Verviers","60000","Liege",0,2,0,2,2,1.5,0,2,0,2,2,1.5,62,"M","(pre)retired","highschool","highschool",2250,18000,"modest","modest","no","no",2.106329,"owner","3 facades","1946-1970","1946-1970","1946-1970",150,100,"1","1","3 or more","1","2","no","no","no","no","no","yes","no","no","yes","no","no","no","yes","no","shower","none","no","no","yes","no","yes","no","no","no","no","rather confident","yes","no","no",0.961538461538462,124.3528,163.794520547945,170.346301369863,218.392694063927,227.128401826484,568.708736,4.75628281341474,2.448,1.745,325.0225
