"id"	"parcarea"	"geometry"
"48"	665.3278	"c(75959.975, 155144.148)"
"96"	361.1598	"c(91466.455, 142747.147)"
"146"	364.9475	"c(81014.044, 133582.082)"
"148"	3782.5168	"c(81106.543, 149392.837)"
"149"	181.7163	"c(80947.999, 144572.809)"
"191"	890.573	"c(77583.708, 140354.033)"
"192"	1576.5617	"c(88246.196, 140580.88)"
"258"	213.0693	"c(81787.504, 144322.596)"
"264"	204.0967	"c(75162.636, 157791.369)"
"300"	785.5625	"c(74886.749, 141061.835)"
"312"	498.8272	"c(81044.714, 145052.603)"
"317"	455.0278	"c(75195.083, 157208.467)"
"332"	156.3085	"c(53012.61, 163151.728)"
"340"	434.0536	"c(79987.876, 146727.95)"
"352"	308.9084	"c(82441.874, 144529.57)"
"409"	2412.1654	"c(85229.354, 138297.141)"
"417"	115.4734	"c(49805.842, 161328.621)"
"461"	278.8931	"c(70308.546, 151469.451)"
"473"	2526.141	"c(89686.774, 139949.74)"
"475"	153.6901	"c(80540.162, 144620.553)"
"596"	982.6737	"c(79401.896, 148045.264)"
"646"	947.7891	"c(94486.984, 145837.866)"
"695"	205.5242	"c(71975.83, 155761.379)"
"697"	731.5237	"c(72662.958, 149888.546)"
"734"	280.1079	"c(73232.221, 148574.612)"
"737"	130.031	"c(93624.215, 133512.039)"
"738"	751.6631	"c(74385.62, 158356.538)"
"777"	1954.4451	"c(88249.737, 138162.81)"
"821"	996.1596	"c(94288.738, 132646.029)"
"825"	371.9606	"c(53484.437, 163904.448)"
"873"	461.8958	"c(86538.083, 143832.656)"
"875"	914.9015	"c(72939.793, 148450.674)"
"880"	837.1478	"c(83161.725, 146266.904)"
"889"	1035.5829	"c(77094.306, 146703.683)"
"917"	390.2797	"c(45944.028, 157379.114)"
"919"	50.6394	"c(79104.374, 145332.493)"
"935"	143.7201	"c(53558.832, 163225.521)"
"948"	150.6232	"c(75884.144, 144344.455)"
"980"	346.7792	"c(79000.659, 145387.878)"
"1027"	93.6385	"c(80300.448, 144065.88)"
"1071"	2645.5561	"c(78728.483, 154653.995)"
"1108"	427.2305	"c(79562.94, 147951.584)"
"1134"	181.2563	"c(80819.562, 143843.887)"
"1162"	1076.1827	"c(72152.569, 156740.225)"
"1193"	298.0886	"c(47472.065, 160320.977)"
"1230"	519.6072	"c(74022.188, 148412.678)"
"1250"	451.3752	"c(47179.887, 158657.746)"
"1272"	1151.3082	"c(91723.394, 134798.431)"
"1338"	419.9511	"c(50008.79, 161479.862)"
"1353"	729.0202	"c(73470.539, 148624.635)"
"1359"	419.426	"c(45290.674, 158482.519)"
"1368"	487.7366	"c(80696.929, 143551.829)"
"1393"	892.1752	"c(79341.167, 148162.769)"
"1458"	1575.2029	"c(89362.877, 146350.787)"
"1468"	251.2465	"c(94453.62, 132813.655)"
"1502"	785.1777	"c(77772.468, 144071.807)"
"1526"	2784.9057	"c(88860.856, 159893.95)"
"1583"	554.9963	"c(80048.288, 145839.835)"
"1589"	1085.3096	"c(82496.535, 146506.705)"
"1670"	75.0422	"c(80929.781, 144606.033)"
"1672"	1210.2857	"c(76623.15, 140492.529)"
"1701"	1703.8984	"c(71302.07, 147735.823)"
"1759"	138.154	"c(81267.657, 145028.859)"
"1794"	3408.8482	"c(83837.538, 146214.081)"
"1799"	262.9166	"c(80361.307, 142885.348)"
"1814"	216.5041	"c(52604.195, 163793.058)"
"1875"	447.7787	"c(83309.997, 138910.533)"
"1878"	763.5784	"c(77776.286, 144088.127)"
"1918"	342.919	"c(80640.309, 143594.366)"
"1932"	295.1229	"c(71918.201, 155615.583)"
"2025"	1474.0569	"c(81495.143, 150604.225)"
"2047"	1534.603	"c(83193.18, 138776.675)"
"2099"	589.356	"c(91815.526, 141769.961)"
"2143"	6748.5668	"c(88933.715, 144618.632)"
"2145"	254.0208	"c(72725.432, 153742.484)"
"2181"	125.8753	"c(53694.782, 163024.188)"
"2208"	352.1307	"c(80639.418, 134693.742)"
"2230"	257.1821	"c(81932.451, 144314.117)"
"2255"	202.4319	"c(82073.728, 145287.51)"
"2297"	1233.9721	"c(74937.345, 147004.654)"
"2313"	448.405	"c(53460.715, 163898.693)"
"2316"	1711.3565	"c(47090.765, 159144.755)"
"2351"	191.3408	"c(79969.57, 143434.603)"
"2436"	167.7472	"c(53697.214, 163930.117)"
"2444"	518.546	"c(79501.914, 145630.543)"
"2458"	203.4698	"c(77196.284, 141191.443)"
