"year","dtbtor","CVD","CVA","value18","CVA18","CVD18","bill70","bill7018"
2012,"AIEC",2.15,1.475,1.09217087138862,1.61095203529821,2.34816737348553,281.2975,307.22493569444
2013,"AIEC",2.15,1.565,1.06449402669456,1.66593315177699,2.2886621573933,287.9755,306.548199584379
2014,"AIEC",2.15,1.745,1.05187156788,1.8355158859506,2.261523870942,301.3315,316.962037356632
2015,"AIEC",2.15,1.935,1.046638376,2.02524525756,2.2502725084,315.4295,330.140619622492
2016,"AIEC",2.15,2.115,1.040396,2.20043754,2.2368514,328.7855,342.067119058
2017,"AIEC",2.15,2.365,1.022,2.41703,2.1973,347.3355,354.976881
2012,"AIEM",2.23,1.475,1.09217087138862,1.61095203529821,2.43554104319662,287.6575,314.171142436472
2013,"AIEM",2.32,1.565,1.06449402669456,1.66593315177699,2.46962614193138,301.4905,320.934836355156
2014,"AIEM",2.32,1.745,1.05187156788,1.8355158859506,2.4403420374816,314.8465,331.17808159653
2015,"AIEM",2.41,1.935,1.046638376,2.02524525756,2.52239848616,336.0995,351.774634854412
2016,"AIEM",2.6,2.115,1.040396,2.20043754,2.7050296,364.5605,379.287285958
2017,"AIEM",2.6,2.365,1.022,2.41703,2.6572,383.1105,391.538931
2012,"Ambleve",1.48,0,1.09217087138862,0,1.61641288965516,118.5875,129.517813210798
2013,"Ambleve",1.55,0,1.06449402669456,0,1.64996574137657,124.1525,132.159594649196
2014,"Ambleve",1.55,0,1.05187156788,0,1.630400930214,124.1525,130.592484831222
2015,"Ambleve",1.85,0,1.046638376,0,1.9362809956,148.0025,154.90509624394
2016,"Ambleve",2,0,1.040396,0,2.080792,159.9275,166.38793129
2017,"Ambleve",2,0,1.022,0,2.044,159.9275,163.445905
2012,"Attert",2.07,1.475,1.09217087138862,1.61095203529821,2.26079370377444,274.9375,300.278728952408
2013,"Attert",2.07,1.565,1.06449402669456,1.66593315177699,2.20350263525774,281.6155,299.778017574602
2014,"Attert",2.07,1.745,1.05187156788,1.8355158859506,2.1773741455116,294.9715,310.272134184915
2015,"Attert",2.07,1.935,1.046638376,2.02524525756,2.16654143832,309.0695,323.483999551132
2016,"Attert",2.07,2.115,1.040396,2.20043754,2.15361972,322.4255,335.450200498
2017,"Attert",2.07,2.365,1.022,2.41703,2.11554,340.9755,348.476961
2012,"Beloeil",NA,1.475,1.09217087138862,1.61095203529821,NA,NA,NA
